name,city,latitude,longitude
Kyte,San Francisco,37.788482,-122.409173
CastTV,San Francisco,37.780716,-122.393913
Pageflakes,San Francisco,37.758113,-122.414689
Bebo,San Francisco,37.782103,-122.401116
Seesmic,San Francisco,37.775196,-122.419204
GoingOn,San Francisco,37.782263,-122.392142
Flixster,San Francisco,37.766909,-122.406676
hi5,San Francisco,37.788668,-122.400558
Curse,San Francisco,37.787092,-122.399972
Yola,San Francisco,37.7911148,-122.3954751
BitTorrent,San Francisco,37.790998,-122.394668
Kongregate,San Francisco,37.786942,-122.401245
DanceJam,San Francisco,37.781557,-122.407959
Crunchyroll,San Francisco,37.781265,-122.393229
Xobni,San Francisco,37.789634,-122.404052
Rupture,San Francisco,37.783898,-122.395234
Whiskey Media,San Francisco,37.856331,-122.495222
Disqus,San Francisco,37.786906,-122.397672
GameLayers,San Francisco,37.803847,-122.402468
HubPages,San Francisco,37.7876952,-122.3991505
Roost,San Francisco,37.7891288,-122.4020276
clipsync,San Francisco,37.2906027,-121.9317853
Lookery,San Francisco,37.788266,-122.403865
Craigslist,San Francisco,37.762512,-122.46649
Three Rings,San Francisco,37.775196,-122.419204
SlideShare,San Francisco,37.776878,-122.400934
Boxbe,San Francisco,37.800209,-122.442592
UserVoice,San Francisco,36.9751032,-122.0253784
Aardvark,San Francisco,37.748676,-122.415813
Serious Business,San Francisco,37.7893215,-122.4013624
RateItAll,San Francisco,37.755012,-122.418137
New Relic,San Francisco,37.269175,-119.306607
Zinch,San Francisco,40.234451,-111.658656
Yoono,San Francisco,37.787204,-122.397884
Citizen Sports,San Francisco,37.777513,-122.397044
TerraPass,San Francisco,37.787445,-122.397847
Aruspex,San Francisco,37.790346,-122.40185
StartForce,San Francisco,37.796164,-122.420903
Keibi Technologies,San Francisco,37.787646,-122.402759
Posterous,San Francisco,37.775196,-122.419204
Open Places,San Francisco,37.758352,-122.398379
Genbook,San Francisco,37.789902,-122.4007791
Carbonetworks,San Francisco,37.805289,-122.404448
Huddler,San Francisco,37.7893215,-122.4013624
Zorap,San Francisco,37.775196,-122.419204
GoodGuide,San Francisco,37.7983181,-122.4000032
Telespree,San Francisco,37.777092,-122.391011
Lolapps,San Francisco,37.7870923,-122.3999719
GoodGuide,San Francisco,37.7983181,-122.4000032
Telespree,San Francisco,37.777092,-122.391011
Lolapps,San Francisco,37.7870923,-122.3999719
Reframe It,San Francisco,37.782163,-122.400591
Formspring,San Francisco,39.9052263,-86.0547016
DocVerse,San Francisco,37.788115,-122.397141
Clikthrough,San Francisco,37.7965781,-122.4022856
Double Fusion,San Francisco,37.7887135,-122.3927145
CyberArts,San Francisco,37.737609,-122.435399
KODA,San Francisco,37.788796,-122.40971
UTOPY,San Francisco,37.767575,-122.411157
